model,accuracy,accuracy_spread,macro_f1
logistic,0.9528769841269842,0.015376984126984128,0.9177114915525078
gradient_boosting,0.9370039682539683,0.01575730549445489,0.8867282445681166
rules,0.8269469246031746,0.023611303244474687,0.6841717631929796
majority-baseline,0.6496155753968254,0.005648490042976561,0.2625273573386781
